ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
16322,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,0.075754152
16893,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.014103405
17529,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.080009877
18083,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,0.049767843
18208,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,0.123421648
18208,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,-0.023749056
18209,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.231422504
18216,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,0.027890215
19129,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.273319858
19129,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,-0.193491306
19129,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,0.716106759
19872,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.079668579
21054,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.051046498
21054,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,0.03720533
21487,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.053875381
21494,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.108147952
21497,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,0.267739828
21498,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,0.177095409
21592,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,0.21262427
22689,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.030207552
2708,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.152090983
5181,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.089610774
5181,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,-0.187792761
5181,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,0.072062125
5422,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.055517328
5444,20210210,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.003455673
5686,20210311,Day 3,1,3,A. baumannii,100ng/mL LPS,0.023082799
9534,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.081246305
10230,20210125,Day 3,1,4,A. baumannii,100ng/mL LPS,-1.077973194
11458,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.062068629
11458,20210118,Day 3,2,4,A. baumannii,100ng/mL LPS,0.231261446
13875,20201112,Day 3,1,4,A. baumannii,100ng/mL LPS,0.01537017
13875,20201119,Day 3,2,4,A. baumannii,100ng/mL LPS,-0.292410377
13875,20201207,Day 3,3,4,A. baumannii,100ng/mL LPS,-0.047336904
13877,20210310,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.005957105
13903,20201112,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.019704364
13903,20201119,Day 3,2,4,A. baumannii,100ng/mL LPS,-0.26478293
13903,20201207,Day 3,3,4,A. baumannii,100ng/mL LPS,0.026402155
14000,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,0.214833948
14000,20210118,Day 3,2,4,A. baumannii,100ng/mL LPS,0.19199546
146,20201112,Day 3,1,4,A. baumannii,100ng/mL LPS,0.19852203
146,20201119,Day 3,2,4,A. baumannii,100ng/mL LPS,-0.037224908
146,20201207,Day 3,3,4,A. baumannii,100ng/mL LPS,-0.262785487
15555,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.477121255
15555,20210118,Day 3,2,4,A. baumannii,100ng/mL LPS,0.17168214
16322,20210125,Day 3,1,4,A. baumannii,100ng/mL LPS,0.068140354
16893,20210210,Day 3,1,4,A. baumannii,100ng/mL LPS,0.057836481
17529,20210311,Day 3,1,4,A. baumannii,100ng/mL LPS,-0.080094203
18083,20210310,Day 3,1,4,A. baumannii,100ng/mL LPS,0.009266601
18208,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,0.003048043
