ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC
11458,20210118,Day 3,2,2,E. coli,Fungi alone,492
11458,20210118,Day 3,2,3,E. coli,Fungi alone,47.66666667
11458,20210118,Day 3,2,4,E. coli,Fungi alone,436
11458,20210118,Day 3,2,1,E. coli,Autoclaved bacteria,1017
11458,20210118,Day 3,2,2,E. coli,Autoclaved bacteria,666
11458,20210118,Day 3,2,3,E. coli,Autoclaved bacteria,994
11458,20210118,Day 3,2,4,E. coli,Autoclaved bacteria,654
11458,20210118,Day 3,2,1,P. aeruginosa,0.1ng/mL LPS,3051
11458,20210118,Day 3,2,2,P. aeruginosa,0.1ng/mL LPS,2648.333333
11458,20210118,Day 3,2,3,P. aeruginosa,0.1ng/mL LPS,2840
11458,20210118,Day 3,2,4,P. aeruginosa,0.1ng/mL LPS,2479
11458,20210118,Day 3,2,1,P. aeruginosa,100ng/mL LPS,1648.666667
11458,20210118,Day 3,2,2,P. aeruginosa,100ng/mL LPS,1933.666667
11458,20210118,Day 3,2,3,P. aeruginosa,100ng/mL LPS,1680.333333
11458,20210118,Day 3,2,4,P. aeruginosa,100ng/mL LPS,1646.666667
11458,20210118,Day 3,2,1,P. aeruginosa,0.1ng/mL LTA,2223.333333
11458,20210118,Day 3,2,2,P. aeruginosa,0.1ng/mL LTA,2177.666667
11458,20210118,Day 3,2,3,P. aeruginosa,0.1ng/mL LTA,2062.333333
11458,20210118,Day 3,2,4,P. aeruginosa,0.1ng/mL LTA,2007
11458,20210118,Day 3,2,1,P. aeruginosa,100ng/mL LTA,2365.333333
11458,20210118,Day 3,2,2,P. aeruginosa,100ng/mL LTA,3230
11458,20210118,Day 3,2,3,P. aeruginosa,100ng/mL LTA,2270
11458,20210118,Day 3,2,4,P. aeruginosa,100ng/mL LTA,2470.666667
11458,20210118,Day 3,2,1,P. aeruginosa,Fungi alone,1614
11458,20210118,Day 3,2,2,P. aeruginosa,Fungi alone,2072
11458,20210118,Day 3,2,3,P. aeruginosa,Fungi alone,1584
11458,20210118,Day 3,2,4,P. aeruginosa,Fungi alone,1761.666667
11458,20210118,Day 3,2,1,P. aeruginosa,Autoclaved bacteria,2351.666667
11458,20210118,Day 3,2,2,P. aeruginosa,Autoclaved bacteria,3190.333333
11458,20210118,Day 3,2,3,P. aeruginosa,Autoclaved bacteria,3314
11458,20210118,Day 3,2,4,P. aeruginosa,Autoclaved bacteria,2211.666667
11458,20210118,Day 3,2,1,S. aureus,0.1ng/mL LPS,7.666666667
11458,20210118,Day 3,2,2,S. aureus,0.1ng/mL LPS,16
11458,20210118,Day 3,2,3,S. aureus,0.1ng/mL LPS,9.333333333
11458,20210118,Day 3,2,4,S. aureus,0.1ng/mL LPS,20.66666667
11458,20210118,Day 3,2,1,S. aureus,100ng/mL LPS,9.333333333
11458,20210118,Day 3,2,2,S. aureus,100ng/mL LPS,13.66666667
11458,20210118,Day 3,2,3,S. aureus,100ng/mL LPS,23.33333333
11458,20210118,Day 3,2,4,S. aureus,100ng/mL LPS,8.333333333
11458,20210118,Day 3,2,1,S. aureus,0.1ng/mL LTA,9.333333333
11458,20210118,Day 3,2,2,S. aureus,0.1ng/mL LTA,18
11458,20210118,Day 3,2,3,S. aureus,0.1ng/mL LTA,5
11458,20210118,Day 3,2,4,S. aureus,0.1ng/mL LTA,8.333333333
11458,20210118,Day 3,2,1,S. aureus,100ng/mL LTA,12
11458,20210118,Day 3,2,2,S. aureus,100ng/mL LTA,17
11458,20210118,Day 3,2,3,S. aureus,100ng/mL LTA,17
11458,20210118,Day 3,2,4,S. aureus,100ng/mL LTA,13.66666667
11458,20210118,Day 3,2,1,S. aureus,Fungi alone,7.666666667
11458,20210118,Day 3,2,2,S. aureus,Fungi alone,18
11458,20210118,Day 3,2,3,S. aureus,Fungi alone,5
11458,20210118,Day 3,2,4,S. aureus,Fungi alone,10.33333333
11458,20210118,Day 3,2,1,S. aureus,Autoclaved bacteria,24
11458,20210118,Day 3,2,2,S. aureus,Autoclaved bacteria,6
11458,20210118,Day 3,2,3,S. aureus,Autoclaved bacteria,15.33333333
11458,20210118,Day 3,2,4,S. aureus,Autoclaved bacteria,16.33333333
13875,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LPS,684.3333333
13875,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,647.3333333
13875,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,702.6666667
13875,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,681.3333333
13875,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,703.6666667
13875,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,745.6666667
13875,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,517.6666667
13875,20201112,Day 3,1,4,A. baumannii,100ng/mL LPS,536.6666667
13875,20201112,Day 3,1,1,A. baumannii,0.1ng/mL LTA,493.3333333
13875,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LTA,565.6666667
13875,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LTA,539
13875,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LTA,548
13875,20201112,Day 3,1,1,A. baumannii,100ng/mL LTA,560.6666667
13875,20201112,Day 3,1,2,A. baumannii,100ng/mL LTA,511.3333333
13875,20201112,Day 3,1,3,A. baumannii,100ng/mL LTA,550.6666667
13875,20201112,Day 3,1,4,A. baumannii,100ng/mL LTA,592
13875,20201112,Day 3,1,1,A. baumannii,Fungi alone,685.3333333
13875,20201112,Day 3,1,2,A. baumannii,Fungi alone,425.6666667
13875,20201112,Day 3,1,3,A. baumannii,Fungi alone,522.6666667
13875,20201112,Day 3,1,4,A. baumannii,Fungi alone,556
13875,20201112,Day 3,1,1,A. baumannii,Autoclaved bacteria,560
13875,20201112,Day 3,1,2,A. baumannii,Autoclaved bacteria,689.6666667
13875,20201112,Day 3,1,3,A. baumannii,Autoclaved bacteria,775.3333333
13875,20201112,Day 3,1,4,A. baumannii,Autoclaved bacteria,726.3333333
13875,20201112,Day 3,1,1,E. coli,0.1ng/mL LPS,262.6666667
13875,20201112,Day 3,1,2,E. coli,0.1ng/mL LPS,166
13875,20201112,Day 3,1,3,E. coli,0.1ng/mL LPS,281.3333333
13875,20201112,Day 3,1,4,E. coli,0.1ng/mL LPS,330.3333333
13875,20201112,Day 3,1,1,E. coli,100ng/mL LPS,182
13875,20201112,Day 3,1,2,E. coli,100ng/mL LPS,203
13875,20201112,Day 3,1,3,E. coli,100ng/mL LPS,292
13875,20201112,Day 3,1,4,E. coli,100ng/mL LPS,201
13875,20201112,Day 3,1,1,E. coli,0.1ng/mL LTA,202.3333333
13875,20201112,Day 3,1,2,E. coli,0.1ng/mL LTA,248.6666667
13875,20201112,Day 3,1,3,E. coli,0.1ng/mL LTA,308.6666667
13875,20201112,Day 3,1,4,E. coli,0.1ng/mL LTA,234.6666667
13875,20201112,Day 3,1,1,E. coli,100ng/mL LTA,231.3333333
13875,20201112,Day 3,1,2,E. coli,100ng/mL LTA,265.6666667
13875,20201112,Day 3,1,3,E. coli,100ng/mL LTA,285.6666667
13875,20201112,Day 3,1,4,E. coli,100ng/mL LTA,246
13875,20201112,Day 3,1,1,E. coli,Fungi alone,189.3333333
13875,20201112,Day 3,1,2,E. coli,Fungi alone,232.6666667
13875,20201112,Day 3,1,3,E. coli,Fungi alone,290.3333333
13875,20201112,Day 3,1,4,E. coli,Fungi alone,226.6666667
13875,20201112,Day 3,1,1,E. coli,Autoclaved bacteria,251.6666667
13875,20201112,Day 3,1,2,E. coli,Autoclaved bacteria,318.3333333
13875,20201112,Day 3,1,3,E. coli,Autoclaved bacteria,286.6666667
13875,20201112,Day 3,1,4,E. coli,Autoclaved bacteria,268.3333333
13875,20201112,Day 3,1,1,P. aeruginosa,0.1ng/mL LPS,1259
13875,20201112,Day 3,1,2,P. aeruginosa,0.1ng/mL LPS,1027
13875,20201112,Day 3,1,3,P. aeruginosa,0.1ng/mL LPS,1262
